JamoSZN
Roster:
NAME                   | POS   | PTS   | RATIO | ACQUISITION         
105  | Caleb Huntley          | BN    |  1.10 | 3    |  0.52 | Waivers; $3 bid      | G                               
106  | Josh Allen             | QB    | 14.58 | 30   |  0.50 | Kept for $30         | Mangina’s Revenge               
107  | Calvin Ridley          | BN    |  0.00 | 1    |  0.50 | Waivers; $1 bid      | Ceedeez Nutz                    
108  | Graham Gano            | K     |  0.00 | 1    |  0.50 | Waivers; $1 bid      | Matt’s “Bye Week”               
109  | Zay Jones              | BN    |  0.00 | 1    |  0.50 | Drafted for $1       | Nags                            
110  | George Kittle          | TE    | 22.40 | 46   |  0.50 | Traded; $46 salar... | JamoSZN                         
111  | Kareem Hunt            | RB    |  6.40 | 14   |  0.49 | Traded; $14 salar... | Forgot About Dre                
112  | Allen Lazard           | WR    |  8.20 | 18   |  0.48 | Drafted for $18      | Burks and Caicos                
113  | Brandon Aiyuk          | BN    | 15.00 | 33   |  0.47 | Drafted for $33      | Aiyuken                         
114  | Trestan Ebner          | BN    |  0.80 | 3    |  0.45 | Waivers; $3 bid      | G                               
115  | David Montgomery       | RB    | 19.60 | 48   |  0.42 | Drafted for $48      | Mangina’s Revenge               
